V_SWEEP ,i("/GM/iout" ?result "dc") (A)
120.8E-3,26.56E-9
121.2E-3,26.60E-9
121.6E-3,26.63E-9
122.0E-3,26.66E-9
122.4E-3,26.70E-9
122.8E-3,26.73E-9
123.2E-3,26.76E-9
123.6E-3,26.80E-9
124.0E-3,26.83E-9
124.4E-3,26.86E-9
124.8E-3,26.89E-9
125.2E-3,26.93E-9
125.6E-3,26.96E-9
126.0E-3,26.99E-9
126.4E-3,27.02E-9
126.8E-3,27.05E-9
127.2E-3,27.08E-9
127.6E-3,27.11E-9
128.0E-3,27.14E-9
128.4E-3,27.17E-9
128.8E-3,27.20E-9
129.2E-3,27.23E-9
129.6E-3,27.26E-9
130.0E-3,27.29E-9
130.4E-3,27.32E-9
130.8E-3,27.35E-9
131.2E-3,27.38E-9
131.6E-3,27.41E-9
132.0E-3,27.43E-9
132.4E-3,27.46E-9
132.8E-3,27.49E-9
133.2E-3,27.52E-9
133.6E-3,27.54E-9
134.0E-3,27.57E-9
134.4E-3,27.60E-9
134.8E-3,27.62E-9
135.2E-3,27.65E-9
135.6E-3,27.68E-9
136.0E-3,27.70E-9
136.4E-3,27.73E-9
136.8E-3,27.75E-9
137.2E-3,27.78E-9
137.6E-3,27.80E-9
138.0E-3,27.83E-9
138.4E-3,27.85E-9
138.8E-3,27.88E-9
139.2E-3,27.90E-9
139.6E-3,27.92E-9
140.0E-3,27.95E-9
140.4E-3,27.97E-9
140.8E-3,27.99E-9
141.2E-3,28.02E-9
141.6E-3,28.04E-9
142.0E-3,28.06E-9
142.4E-3,28.09E-9
142.8E-3,28.11E-9
143.2E-3,28.13E-9
143.6E-3,28.15E-9
144.0E-3,28.17E-9
144.4E-3,28.20E-9
144.8E-3,28.22E-9
145.2E-3,28.24E-9
145.6E-3,28.26E-9
146.0E-3,28.28E-9
146.4E-3,28.30E-9
146.8E-3,28.32E-9
147.2E-3,28.34E-9
147.6E-3,28.36E-9
148.0E-3,28.38E-9
148.4E-3,28.40E-9
148.8E-3,28.42E-9
149.2E-3,28.44E-9
149.6E-3,28.46E-9
150.0E-3,28.48E-9
150.4E-3,28.50E-9
150.8E-3,28.52E-9
151.2E-3,28.54E-9
151.6E-3,28.56E-9
152.0E-3,28.58E-9
152.4E-3,28.59E-9
152.8E-3,28.61E-9
153.2E-3,28.63E-9
153.6E-3,28.65E-9
154.0E-3,28.67E-9
154.4E-3,28.68E-9
154.8E-3,28.70E-9
155.2E-3,28.72E-9
155.6E-3,28.74E-9
156.0E-3,28.75E-9
156.4E-3,28.77E-9
156.8E-3,28.79E-9
157.2E-3,28.80E-9
157.6E-3,28.82E-9
158.0E-3,28.84E-9
158.4E-3,28.85E-9
158.8E-3,28.87E-9
159.2E-3,28.88E-9
159.6E-3,28.90E-9
160.0E-3,28.92E-9
160.4E-3,28.93E-9
160.8E-3,28.95E-9
161.2E-3,28.96E-9
161.6E-3,28.98E-9
162.0E-3,28.99E-9
162.4E-3,29.01E-9
162.8E-3,29.02E-9
163.2E-3,29.04E-9
163.6E-3,29.05E-9
164.0E-3,29.06E-9
164.4E-3,29.08E-9
164.8E-3,29.09E-9
165.2E-3,29.11E-9
165.6E-3,29.12E-9
166.0E-3,29.13E-9
166.4E-3,29.15E-9
166.8E-3,29.16E-9
